"approp_rt","approp_acc","approp_resp","approp_cresp","sentence_id","condition","sentence","id","type","subject","appropriateness","approp_rating"
826,1,5,5,"26","HUHA_non-engineering","The feeling sank over time.",107,"metaphorical",1,"high",1
896,1,5,5,"61","LUHA_engineering","The intense heat melted the plastic.",107,"literal",2,"high",1
564,1,5,5,"23","HUHA_non-engineering","The echo trembled through the cave.",107,"metaphorical",1,"high",1
788,1,5,5,"72","LUHA_non-engineering","The dream pointed the direction.",107,"literal",1,"high",1
698,0,5,1,"37","HULA_engineering","The screw flapped toward the spring.",107,"anomalous",2,"low",1
444,1,5,5,"65","LUHA_non-engineering","The moon brightened the world.",107,"literal",1,"high",1
608,1,5,5,"66","LUHA_non-engineering","The garden froze in the winter.",107,"literal",1,"high",1
475,1,1,1,"36","HULA_engineering","The rust gardened the metal.",107,"anomalous",2,"low",0
375,1,5,5,"9","HUHA_engineering","The fabric was zipped by glue.",107,"metaphorical",2,"high",1
493,1,1,1,"49","HULA_non-engineering","The waves excused the beach.",107,"anomalous",1,"low",0
808,1,5,5,"54","LUHA_engineering","The wind pushed the wheel.",107,"literal",2,"high",1
1268,1,1,1,"39","HULA_engineering","The computers are lifted through a network.",107,"anomalous",2,"low",0
832,1,5,5,"7","HUHA_engineering","The weather handicapped available transportation.",107,"metaphorical",2,"high",1
1253,1,5,5,"3","HUHA_engineering","The shadows were slayed by light.",107,"metaphorical",2,"high",1
991,1,5,5,"63","LUHA_engineering","The soil was flattened by the roller.",107,"literal",2,"high",1
697,0,5,1,"34","HULA_engineering","The dough goofed around in the mixer.",107,"anomalous",2,"low",1
1547,1,5,5,"22","HUHA_non-engineering","The brook scurried through the forest.",107,"metaphorical",1,"high",1
615,1,5,5,"56","LUHA_engineering","The air system supplied the house with good ventilation.",107,"literal",2,"high",1
1219,0,5,1,"46","HULA_non-engineering","The ivy glazed the tree.",107,"anomalous",1,"low",1
706,1,5,5,"70","LUHA_non-engineering","The earthquake devastated the city.",107,"literal",1,"high",1
393,1,5,5,"13","HUHA_engineering","The repairman freed the stuck hinge with grease.",107,"metaphorical",2,"high",1
843,0,5,1,"31","HULA_engineering","The technician folded the plane's wing.",107,"anomalous",2,"low",1
353,1,5,5,"69","LUHA_non-engineering","The heat dried the ground.",107,"literal",1,"high",1
1064,0,5,1,"30","HULA_engineering","The dam spooked the water.",107,"anomalous",2,"low",1
1168,1,1,1,"29","HULA_engineering","The new construction was chopped by the cover.",107,"anomalous",2,"low",0
876,1,5,5,"75","LUHA_non-engineering","The thunderclouds drifted across the fields.",107,"literal",1,"high",1
847,1,5,5,"12","HUHA_engineering","The workers helped to awake the structure.",107,"metaphorical",2,"high",1
774,0,5,1,"28","HULA_engineering","The metal was parented by the brush.",107,"anomalous",2,"low",1
556,1,5,5,"10","HUHA_engineering","The nails were abused by the hammer.",107,"metaphorical",2,"high",1
648,0,5,1,"44","HULA_non-engineering","The worm snored through the apple.",107,"anomalous",1,"low",1
762,1,5,5,"24","HUHA_non-engineering","The morning dew slept on the meadow.",107,"metaphorical",1,"high",1
333,1,5,5,"62","LUHA_engineering","The machine adds pressure and heat to vulcanize the rubber.",107,"literal",2,"high",1
261,1,5,5,"55","LUHA_engineering","The speakers produced sound.",107,"literal",2,"high",1
261,1,1,1,"38","HULA_engineering","The car gutted all of the gas.",107,"anomalous",2,"low",0
555,1,5,5,"1","HUHA_engineering","The snow was reformed by the heat of the sunlight.",107,"metaphorical",2,"high",1
1797,0,1,5,"21","HUHA_non-engineering","The gravity pressured the moon.",107,"metaphorical",1,"high",0
322,1,5,5,"15","HUHA_non-engineering","The woman dripped words into his ear.",107,"metaphorical",1,"high",1
299,1,5,5,"58","LUHA_engineering","The plants are affected by temperature.",107,"literal",2,"high",1
1076,0,5,1,"50","HULA_non-engineering","The snow rubbed the ground.",107,"anomalous",1,"low",1
752,1,5,5,"60","LUHA_engineering","The light caused the stone to change color.",107,"literal",2,"high",1
1088,1,1,1,"43","HULA_non-engineering","The melody enrolled through the air.",107,"anomalous",1,"low",0
