"unusual_rt","unusual_acc","unusual_resp","unusual_cresp","approp_rt","approp_acc","approp_resp","approp_cresp","sentence_id","condition","sentence","id","type","engineering","appropriateness","unusualness","Appropriate.ACC","Unusual.ACC"
2002,0,1,5,826,1,5,5,"26","HUHA_non-engineering","The feeling sank over time.",107,"Metaphorical","non","high","high","Appropriate","Usual"
771,1,1,1,896,1,5,5,"61","LUHA_engineering","The intense heat melted the plastic.",107,"Literal","eng","high","low","Appropriate","Usual"
586,0,1,5,564,1,5,5,"23","HUHA_non-engineering","The echo trembled through the cave.",107,"Metaphorical","non","high","high","Appropriate","Usual"
1451,0,5,1,788,1,5,5,"72","LUHA_non-engineering","The dream pointed the direction.",107,"Literal","non","high","low","Appropriate","Unusual"
4517,1,5,5,698,0,5,1,"37","HULA_engineering","The screw flapped toward the spring.",107,"Anomalous","eng","low","high","Appropriate","Unusual"
874,1,1,1,444,1,5,5,"65","LUHA_non-engineering","The moon brightened the world.",107,"Literal","non","high","low","Appropriate","Usual"
540,1,1,1,608,1,5,5,"66","LUHA_non-engineering","The garden froze in the winter.",107,"Literal","non","high","low","Appropriate","Usual"
1134,1,5,5,475,1,1,1,"36","HULA_engineering","The rust gardened the metal.",107,"Anomalous","eng","low","high","Inappropriate","Unusual"
1212,0,1,5,375,1,5,5,"9","HUHA_engineering","The fabric was zipped by glue.",107,"Metaphorical","eng","high","high","Appropriate","Usual"
1155,1,5,5,493,1,1,1,"49","HULA_non-engineering","The waves excused the beach.",107,"Anomalous","non","low","high","Inappropriate","Unusual"
1160,1,1,1,808,1,5,5,"54","LUHA_engineering","The wind pushed the wheel.",107,"Literal","eng","high","low","Appropriate","Usual"
819,1,5,5,1268,1,1,1,"39","HULA_engineering","The computers are lifted through a network.",107,"Anomalous","eng","low","high","Inappropriate","Unusual"
1716,0,1,5,832,1,5,5,"7","HUHA_engineering","The weather handicapped available transportation.",107,"Metaphorical","eng","high","high","Appropriate","Usual"
7686,1,5,5,1253,1,5,5,"3","HUHA_engineering","The shadows were slayed by light.",107,"Metaphorical","eng","high","high","Appropriate","Unusual"
6921,1,1,1,991,1,5,5,"63","LUHA_engineering","The soil was flattened by the roller.",107,"Literal","eng","high","low","Appropriate","Usual"
3149,0,1,5,697,0,5,1,"34","HULA_engineering","The dough goofed around in the mixer.",107,"Anomalous","eng","low","high","Appropriate","Usual"
